	Study name	Outcome	PERSON	Sample size        	Correlation	Cor.Joe	Fisher's Z	Z.Joe	Std Err	Std.Err.Joe	t	df	p	Full Reference	Long Dup	raw r?	Study	SEX	Best?	Best.Joe	AGE	East/West	setting2	Setting	1st	2nd	3rd	4th	aveORonlyR	aveDVs	Country	Concern	Test	p-value	
190	FR01AA	AggAff	Third	71	0.2281		0.232184265		0.121267813					"Fleming, M J. & Rickwood, D. J. (2001) Effects of violent versus nonviolent video games on children's arousal, aggressive mood and positive mood.  Journal of Applied Social Psychology, 31, 2047-2071."	Exp	y	1	MF	y		Child	West	Exp	Exp	.	.	.	.	0.2281	.	Australia				
191	FR01PA	PhysArous	Third	71	0.3326		0.345748817		0.121267813					"Fleming, M J. & Rickwood, D. J. (2001) Effects of violent versus nonviolent video games on children's arousal, aggressive mood and positive mood.  Journal of Applied Social Psychology, 31, 2047-2071."	Exp	y	1	MF	y		Child	West	Exp	Exp	.	.	.	.	0.3326	.	Australia				
419	UDW07AA	AggAff	First	107	0.1961		0.19867333		0.098058068					"Unsworth, G., Devilly, G. J., & Ward, T. (2007). The effect of playing violent video games on adolescents: Should parents be quaking in their boots? Psychology, Crime, & Law, 13, 383-394."	NB	y	1	MF	n		Child	West	Exp	Exp	.	.	.	.	0.1961	.	Australia				
165	F06ABF	AggBeh	.	103	0.17		0.171666664		0.1					"Fleming, M.J. (2006). The effects of television and electronic games on aggression and prosocial behavior in middle childhood. Dissertation, University of Canberra."	NB	y	1	F	n		Child	West	Nonexp	NonexpS	.	.	.	.	0.17	.	Australia				
166	F06ABM	AggBeh	.	125	0.35		0.365443754		9.05E-02					"Fleming, M.J. (2006). The effects of television and electronic games on aggression and prosocial behavior in middle childhood. Dissertation, University of Canberra."	NB	y	1	M	n		Child	West	Nonexp	NonexpS	.	.	.	.	0.35	.	Australia				
426	W07AB	AggBeh	.	312	0.32		0.331647109		5.69E-02					"Wei, R. (2007). Effects of playing violent videogames on Chinese adolescents' pro-violence attitudes, attitudes toward others, and aggressive behavior. CyberPsychology & Behavior, 10, 371-380."	Blank	y	1	MF	y		Child	East	Nonexp	Nonexp	.	.	.	.	0.32	.	China				
427	W07AC	AggCog	.	312	0.18		0.181982689		5.69E-02					"Wei, R. (2007). Effects of playing violent videogames on Chinese adolescents' pro-violence attitudes, attitudes toward others, and aggressive behavior. CyberPsychology & Behavior, 10, 371-380."	Blank	y	1	MF	y		Child	East	Nonexp	Nonexp	.	.	.	.	0.18	.	China				
428	W07EM	Empathy	.	312	-0.3		-0.309519604		5.69E-02					"Wei, R. (2007). Effects of playing violent videogames on Chinese adolescents' pro-violence attitudes, attitudes toward others, and aggressive behavior. CyberPsychology & Behavior, 10, 371-380."	Blank	y	1	MF	y		Child	East	Nonexp	Nonexp	.	.	.	.	-0.3	.	China				
255	K04ABM	AggBeh	.	2079	0.1532		0.154415713		2.19E-02					"Kuntsche, E.N. (2004). Hostility among adolescents in Switzerland? Multivariate relations between excessive media uee and forms of violence. Journal of Adolescent Health, 34, 230-236."	NB	y	1	M	n		Child	West	Nonexp	NonexpS	0.2362	0.1767	0.0425	.	0.1532	"bully,hit,fight"	Europe				
437	WP08ABfL	AggBeh	.	180	0.1		0.100335348		7.52E-02					"Wallenius, M., & Punamaki, R. (2008). Digitial game violence and direct aggression in adolescence: A longitudinal study of the roles of sex, age, and parent-child communication. Journal of Applied Developmental Psychology, 29, 286-294."	LS	y	1	F	y		Child	West	Long	Long	.	.	.	.	0.1	.	Finland				
440	WP08ABmL	AggBeh	.	136	0.19		0.192337169		0.086710997					"Wallenius, M., & Punamaki, R. (2008). Digitial game violence and direct aggression in adolescence: A longitudinal study of the roles of sex, age, and parent-child communication. Journal of Applied Developmental Psychology, 29, 286-294."	LS	y	1	M	y		Child	West	Long	Long	.	.	.	.	0.19	.	Finland				
438	WP08ABfPL	AggBeh	.	180	0.0624		6.25E-02		7.52E-02					"Wallenius, M., & Punamaki, R. (2008). Digitial game violence and direct aggression in adolescence: A longitudinal study of the roles of sex, age, and parent-child communication. Journal of Applied Developmental Psychology, 29, 286-294."	LT1s	n	1	F	y		Child	West	LongPs	LongPs	.	.	.	.	0.1	.	Finland				
441	WP08ABmPL	AggBeh	.	136	0.0859		8.61E-02		0.086710997					"Wallenius, M., & Punamaki, R. (2008). Digitial game violence and direct aggression in adolescence: A longitudinal study of the roles of sex, age, and parent-child communication. Journal of Applied Developmental Psychology, 29, 286-294."	LT1s	n	1	M	y		Child	West	LongPs	LongPs	.	.	.	.	0.19	.	Finland				
436	WP08ABf	AggBeh	.	180	0.1758		0.177645414		7.52E-02					"Wallenius, M., & Punamaki, R. (2008). Digitial game violence and direct aggression in adolescence: A longitudinal study of the roles of sex, age, and parent-child communication. Journal of Applied Developmental Psychology, 29, 286-294."	Blank	y	1	F	y		Child	West	Nonexp	NonexpS	0.12	0.23	.	.	0.1758	"T1,T2"	Finland				
439	WP08ABm	AggBeh	.	136	0.2068		0.209826055		0.086710997					"Wallenius, M., & Punamaki, R. (2008). Digitial game violence and direct aggression in adolescence: A longitudinal study of the roles of sex, age, and parent-child communication. Journal of Applied Developmental Psychology, 29, 286-294."	Blank	y	1	M	y		Child	West	Nonexp	NonexpS	0.28	0.13	.	.	0.2068	"T1,T2"	Finland				
442	WPR07ABF	AggBeh	.	260	0.18		0.181982689		6.24E-02					"Wallenius, M., Punamaki, R. L., & Rimpela, A. (2007). Digital game playing and direct and indirect aggression in early adolescence: The roles of age, social intelligence, and parent-child communication. Journal of Youth & Adolescence, 36,$325-336."	NB	y	1	F	n		Child	West	Nonexp	NonexpS	.	.	.	.	0.18	.	Finland				
443	WPR07ABM	AggBeh	.	218	0.27		0.276863823		6.82E-02					"Wallenius, M., Punamaki, R. L., & Rimpela, A. (2007). Digital game playing and direct and indirect aggression in early adolescence: The roles of age, social intelligence, and parent-child communication. Journal of Youth & Adolescence, 36,$325-336."	NB	y	1	M	n		Child	West	Nonexp	NonexpS	.	.	.	.	0.27	.	Finland				
444	WRM06AA	AggAff	First	13	0.6209		0.726468403		0.316227766					"Weber, R., Ritterfeld, U., & Mathiak, K. (2006). Does playing violent video games induce aggression?: Empirical evidence of a functional magnetic resonance imaging study. Media Psychology, 8, 39-60."	Exp	y	1	M	y		Adult	West	Exp	Exp	0.6657	0.5692	.	.	0.6209	"rACC,amyg"	Germany				
445	WRM06AC	AggCog	First	13	0.526		0.584598945		0.316227766					"Weber, R., Ritterfeld, U., & Mathiak, K. (2006). Does playing violent video games induce aggression?: Empirical evidence of a functional magnetic resonance imaging study. Media Psychology, 8, 39-60."	Exp	y	1	M	y		Adult	West	Exp	Exp	.	.	.	.	0.526	.	Germany				
222	HHW08ABL	AggBeh	.	314	0.351		0.366583811		5.67E-02					"Hoph, W. H., Huber, G. L., & Weib, R. H. (2008). Media violence and youth violence: A 2-year longitudinal study. Journal of Media Psychology, 20, 79-96."	L	y	1	MF	y		Child	West	Long	Long	.	.	.	.	0.351	.	Germany				
285	MK09ABL	AggBeh	.	139	0.29		0.298566264		8.57E-02					"Moller, I. & Krahe, B. (2009). Exposure to violent video games and aggression in German adolescents: A longitudinal analysis. Aggressive Behavior, 35, 75-89."	L	y	1	MF	y		Child	West	Long	Long	.	.	.	.	0.29	.	Germany				
227	HHW08ACL	AggCog	.	314	0.2		0.202732554		5.67E-02					"Hoph, W. H., Huber, G. L., & Weib, R. H. (2008). Media violence and youth violence: A 2-year longitudinal study. Journal of Media Psychology, 20, 79-96."	L	y	1	MF	y		Child	West	Long	Long	.	.	.	.	0.2	.	Germany				
290	MK09ACL	AggCog	.	137.5	0.2064		0.209408221		8.62E-02					"Moller, I. & Krahe, B. (2009). Exposure to violent video games and aggression in German adolescents: A longitudinal analysis. Aggressive Behavior, 35, 75-89."	L	y	1	MF	y		Child	West	Long	Long	0.29	0.13	.	.	0.2064	"NormBel,HAB"	Germany				
223	HHW08ABPL	AggBeh	.	314	0.11		0.110446916		5.67E-02					"Hoph, W. H., Huber, G. L., & Weib, R. H. (2008). Media violence and youth violence: A 2-year longitudinal study. Journal of Media Psychology, 20, 79-96."	LT1	n	1	MF	y		Child	West	LongP	LongP	.	.	.	.	0.11	.	Germany				
286	MK09ABPL	AggBeh	.	139	0.253		0.258615385		8.57E-02					"Moller, I. & Krahe, B. (2009). Exposure to violent video games and aggression in German adolescents: A longitudinal analysis. Aggressive Behavior, 35, 75-89."	LT1	n	1	MF	y		Child	West	LongP	LongP	.	.	.	.	0.29	.	Germany				
