	Study	Subgroup within study	Comparison	Outcome (specific)	Time point	Correlation	Std Err	Fisher's Z	Std Err	Outcome Group	outcome type	study design	media type	Ferguson	Citation
1	"Zhen, S., Xie, H., Zhang, W., Wang, S., & Li, D. (2011)."	Blank	Blank	beliefs about aggression	Blank	0.28	3.27E-02	0.287682072	3.55E-02	cognition	antisocial/negative	correlational	antisocial	3	"Zhen, S., Xie, H., Zhang, W., Wang, S., & Li, D. (2011). Exposure to violent computer games and Chinese adolescents’ physical aggression: The role of beliefs about aggression, hostile expectations, and empathy. Computers In Human Behavior, 27(5), 1675-1687.                                                                                                                                                                                                                                                                                                                                                       "
2	"Zhen, S., Xie, H., Zhang, W., Wang, S., & Li, D. (2011)."	Blank	Blank	Empathy	Blank	0.22	3.38E-02	0.223656109	3.55E-02	affect	prosocial/positive	correlational	antisocial	3	"Zhen, S., Xie, H., Zhang, W., Wang, S., & Li, D. (2011). Exposure to violent computer games and Chinese adolescents’ physical aggression: The role of beliefs about aggression, hostile expectations, and empathy. Computers In Human Behavior, 27(5), 1675-1687.                                                                                                                                                                                                                                                                                                                                                       "
3	"Zhen, S., Xie, H., Zhang, W., Wang, S., & Li, D. (2011)."	Blank	Blank	hostile expectations	Blank	0.19	3.43E-02	0.192337169	3.55E-02	cognition	antisocial/negative	correlational	antisocial	3	"Zhen, S., Xie, H., Zhang, W., Wang, S., & Li, D. (2011). Exposure to violent computer games and Chinese adolescents’ physical aggression: The role of beliefs about aggression, hostile expectations, and empathy. Computers In Human Behavior, 27(5), 1675-1687.                                                                                                                                                                                                                                                                                                                                                       "
4	"Zhen, S., Xie, H., Zhang, W., Wang, S., & Li, D. (2011)."	Blank	Blank	physical aggression	Blank	0.1	3.52E-02	0.100335348	3.55E-02	behavior	antisocial/negative	correlational	antisocial	3	"Zhen, S., Xie, H., Zhang, W., Wang, S., & Li, D. (2011). Exposure to violent computer games and Chinese adolescents’ physical aggression: The role of beliefs about aggression, hostile expectations, and empathy. Computers In Human Behavior, 27(5), 1675-1687.                                                                                                                                                                                                                                                                                                                                                       "
5	"Willoughby, T., Adachi, P. C., & Good, M. (2012)."	Blank	Blank	direct aggression/violent VG play	Blank	0.24	2.44E-02	0.244774113	2.59E-02	behavior	antisocial/negative	correlational	antisocial	3	"Willoughby, T., Adachi, P. C., & Good, M. (2012). A longitudinal study of the association between violent video game play and aggression among adolescents. Developmental Psychology, 48(4), 1044-1057.                                                                                                                                                                                                                                                                                                                                                                                                                 "
6	"Whitaker, J. L., & Bushman, B. J. (2012)."	Blank	AS vs Neutral/Control	Aggressive behaviour	Blank	0.214861783	0.076976159	0.218262907	8.07E-02	behavior	antisocial/negative	experimental	antisocial	2	"Whitaker, J. L., & Bushman, B. J. (2012). “Remain calm. Be kind.” Effects of relaxing video games on aggressive and prosocial behavior. Social Psychological And Personality Science, 3(1), 88-92.                                                                                                                                                                                                                                                                                                                                                                                                                      "
7	"Whitaker, J. L., & Bushman, B. J. (2012)."	Blank	AS vs Neutral/Control	prosocial behaviour (monetary reward)	Blank	0.191395051	7.79E-02	0.193784867	8.09E-02	behavior	prosocial/positive	experimental	antisocial	2	"Whitaker, J. L., & Bushman, B. J. (2012). “Remain calm. Be kind.” Effects of relaxing video games on aggressive and prosocial behavior. Social Psychological And Personality Science, 3(1), 88-92.                                                                                                                                                                                                                                                                                                                                                                                                                      "
8	"Whitaker, J. L., & Bushman, B. J. (2012)."	Blank	AS vs Neutral/Control	prosocial behaviour (number of pencil sharpened)	Blank	3.50E-02	9.27E-02	3.50E-02	9.28E-02	behavior	prosocial/positive	experimental	antisocial	2	"Whitaker, J. L., & Bushman, B. J. (2012). “Remain calm. Be kind.” Effects of relaxing video games on aggressive and prosocial behavior. Social Psychological And Personality Science, 3(1), 88-92.                                                                                                                                                                                                                                                                                                                                                                                                                      "
9	"Whitaker, J. L., & Bushman, B. J. (2012)."	Blank	AS vs Neutral/Control	prosocial hehaviour (pencil sharpened)	Blank	4.99E-02	8.14E-02	5.00E-02	8.16E-02	behavior	prosocial/positive	experimental	antisocial	2	"Whitaker, J. L., & Bushman, B. J. (2012). “Remain calm. Be kind.” Effects of relaxing video games on aggressive and prosocial behavior. Social Psychological And Personality Science, 3(1), 88-92.                                                                                                                                                                                                                                                                                                                                                                                                                      "
10	"von Salisch, M., Vogelgesang, J., Kristen, A., & Oppl, C. (2011)."	Blank	Blank	behaviour (table 1)                                                                                                                                                                                     	Blank	0.24	6.20E-02	0.244774113	6.58E-02	behavior	antisocial/negative	experimental	antisocial	3	"von Salisch, M., Vogelgesang, J., Kristen, A., & Oppl, C. (2011). Preference for violent electronic games and aggressive behavior among children: The beginning of the downward spiral?. Media Psychology"
