Study	Subgroup.within.study	Comparison	Outcome..specific.	Time.point	Correlation	Std.Err.r	Fisher.s.Z	Std.Err	Outcome.Group	outcome.type	study.design	media.type	Ferguson	Citation	ID	StudyShort	Sample.size
"Zhen, S., Xie, H., Zhang, W., Wang, S., & Li, D. (2011)."	Blank	Blank	Empathy	Blank	0.22	0.0338	0.223656109	0.0355	affect	prosocial/positive	correlational	antisocial	3	"Zhen, S., Xie, H., Zhang, W., Wang, S., & Li, D. (2011). Exposure to violent computer games and Chinese adolescents’ physical aggression: The role of beliefs about aggression, hostile expectations, and empathy. Computers In Human Behavior, 27(5), 1675-1687.                                                                                                                                                                                                                                                                                                                                                       "	2	"Zhen, S._D. (2011)."	796.4933545
"Zhen, S., Xie, H., Zhang, W., Wang, S., & Li, D. (2011)."	Blank	Blank	physical aggression	Blank	0.1	0.0352	0.100335348	0.0355	behavior	antisocial/negative	correlational	antisocial	3	"Zhen, S., Xie, H., Zhang, W., Wang, S., & Li, D. (2011). Exposure to violent computer games and Chinese adolescents’ physical aggression: The role of beliefs about aggression, hostile expectations, and empathy. Computers In Human Behavior, 27(5), 1675-1687.                                                                                                                                                                                                                                                                                                                                                       "	4	"Zhen, S._D. (2011)."	796.4933545
"Willoughby, T., Adachi, P. C., & Good, M. (2012)."	Blank	Blank	direct aggression/violent VG play	Blank	0.24	0.0244	0.244774113	0.0259	behavior	antisocial/negative	correlational	antisocial	3	"Willoughby, T., Adachi, P. C., & Good, M. (2012). A longitudinal study of the association between violent video game play and aggression among adolescents. Developmental Psychology, 48(4), 1044-1057.                                                                                                                                                                                                                                                                                                                                                                                                                 "	5	Willough_M. (2012).	1493.735081
"Fraser, A. M., Padilla-Walker, L. M., Coyne, S. M., Nelson, L. J., & Stockdale, L. A. (2012)."	female/male	Blank	prosocial behaviour toward family/prosocial behaviour toward friends/prosocial behaviour toward strangers	Blank	0.074699783	0.0419	0.07456115	0.035584544	behavior	prosocial/positive	experimental	antisocial	3	"Fraser, A. M., Padilla-Walker, L. M., Coyne, S. M., Nelson, L. J., & Stockdale, L. A. (2012). Associations between violent video gaming, empathic concern, and prosocial behavior toward strangers, friends, and family members. Journal Of Youth And Adolescence, 41(5), 636-649.                                                                                                                                                                                                                                                                                                                                      "	184/185/186/188/189/190	"Fraser, _A. (2012)."	789.7273568
"von Salisch, M., Vogelgesang, J., Kristen, A., & Oppl, C. (2011)."	Blank	Blank	behaviour (table 1)                                                                                                                                                                                     	Blank	0.24	0.062	0.244774113	0.0658	behavior	antisocial/negative	longitudinal	antisocial	3	"von Salisch, M., Vogelgesang, J., Kristen, A., & Oppl, C. (2011). Preference for violent electronic games and aggressive behavior among children: The beginning of the downward spiral?. Media Psychology"	10	von Sali_C. (2011).	233.9660849
"Krcmar, M., & Farrar, K. (2009)."	Blank	AS vs Neutral/Control	physical aggression                                                                                                                                                                                     /verbal aggression                                                                                                                                                                                       	Blank	0.277403217	0.067	0.2705	0.072	behavior	antisocial/negative	experimental	antisocial	3	"Krcmar, M., & Farrar, K. (2009). Retaliatory aggression and the effects of point of view and blood in violent video games. Mass Communication & Society, 12(1), 115-138."	80/81	"Krcmar, _K. (2009)."	195.9012346
"Teng, S., Chong, G., Siew, A., & Skoric, M. M. (2011)."	Blank	AS vs Neutral/Control	Empathy	Blank	0.025	0.087	0.025	0.087	affect	prosocial/positive	experimental	antisocial	3	"Teng, S., Chong, G., Siew, A., & Skoric, M. M. (2011). Grand Theft Auto IV comes to Singapore: Effects of repeated exposure to violent video games on aggression. Cyberpsychology, Behavior, And Social Networking, 14(10), 597-602.                                                                                                                                                                                                                                                                                                                                                                                    "	21	"Teng, S._M. (2011)."	135.1178491
"Shafer, D. M. (2012).                                                                                                                                                                                   "	Blank	AS vs Neutral/Control	hostility                                                                                                                                                                                               	Blank	0.0994	0.0581	0.099699959	0.0587	affect	antisocial/negative	experimental	antisocial	3	"Shafer, D. M. (2012). Causes of state hostility and enjoyment in player versus player and player versus environment video games. Journal Of Communication, 62(4), 719-737. doi:10.1111/j.1460-2466.2012."	23	"Shafer, _          "	293.2176342
"Charles, E. P., Baker, C. M., Hartman, K., Easton, B. P., & Kreuzberger, C. (2013)."	Button Pressing/Motion Capture	AS vs Neutral/Control	CRTT	Blank	0.040271757	0.11	0.04025	0.076407315	behavior	antisocial/negative	experimental	antisocial	3	"Charles, E. P., Baker, C. M., Hartman, K., Easton, B. P., & Kreuzberger, C. (2013). Motion capture controls negate the violent video-game effect. Computers in Human Behavior, 29(6), 2519-2523. doi: http://dx.doi.org/10.1016/j.chb.2013.05.028"	238/239	"Charles,_C. (2013)."	171.2892562
"Sestir, M. A., & Bartholow, B. D. (2010)."	Blank	AS vs Neutral/Control	aggressive cognition	Blank	0.11	0.074	0.11	0.075	cognition	antisocial/negative	experimental	antisocial	3	"Sestir, M. A., & Bartholow, B. D. (2010). Violent and nonviolent video games produce opposing effects on aggressive and prosocial outcomes. Journal Of Experimental Social Psychology, 46(6), 934-942. doi:10.1016/j.jesp.2010.06.005                                                                                                                                                                                                                                                                                                                                                                                   "	25	"Sestir, _D. (2010)."	180.7777778
"Sestir, M. A., & Bartholow, B. D. (2010)."	Blank	AS vs Neutral/Control	hostile affect	Blank	0.21	0.0716	0.213171347	0.075	affect	antisocial/negative	experimental	antisocial	3	"Sestir, M. A., & Bartholow, B. D. (2010). Violent and nonviolent video games produce opposing effects on aggressive and prosocial outcomes. Journal Of Experimental Social Psychology, 46(6), 934-942. doi:10.1016/j.jesp.2010.06.005                                                                                                                                                                                                                                                                                                                                                                                   "	26	"Sestir, _D. (2010)."	180.7777778
"Saleem, M., Anderson, C. A., & Gentile, D. A. (2012a)."	Blank	AS vs Neutral/Control	Positive affect	Blank	0.167595494	0.0651	0.169191636	0.066944884	affect	prosocial/positive	experimental	antisocial	2	"Saleem, M., Anderson, C. A., & Gentile, D. A. (2012). Effects of prosocial, neutral, and violent video games on college students' affect. Aggressive Behavior, 38(4), 263-271. doi:10.1002/ab.21427                                                                                                                                                                                                                                                                                                                                                                                                                     "	29	"Saleem, _. (2012a)."	226.1337238
"Saleem, M., & Anderson, C. A. (2013). S2"	Blank	AS vs Neutral/Control	negative affect (arab-terrorist/arab-golf)	Blank	0.224147693	0.0593	0.228018972	0.0624	affect	antisocial/negative	experimental	antisocial	2	"Saleem, M., & Anderson, C. A. (2013). Arabs as terrorists: Effects of stereotypes within violent contexts on attitudes, perceptions, and affect. Psychology Of Violence, 3(1), 84-99. doi:10.1037/a0030038"	34	"Saleem, _(2013). S2"	259.8211703
"Prot, S., Gentile, D. A., Anderson, C. A., Suzuki, K., Swing, E., Lim, K. M., Horiuchi, Y., Jelic, M., Krahé, B., Liuqing, W., Liau, A., Khoo, A.,  Petrescu, P. D., Sakamoto, A., Tajima, S.., Toma, R., Warburton, W., Zhang, X.-M. & Lam, B. C. P. (in press) S1"	Blank	Blank	empathy	Blank	0.11	0.0211	0.110446916	0.0213	affect	prosocial/positive	correlational	antisocial	2	"Prot, S., Gentile, D. A., Anderson, C. A., Suzuki, K., Swing, E., Lim, K. M., Horiuchi, Y., Jelic, M., Krahé, B., Liuqing, W., Liau, A., Khoo, A.,  Petrescu, P. D., Sakamoto, A., Tajima, S.., Toma, R., Warburton, W., Zhang, X.-M. & Lam, B. C. P. (in press). Long-term relations between prosocial media use, empathy, and prosocial behavior. Psychological Science"	47	"Prot, S._ press) S1"	2207.148207
"Prot, S., Gentile, D. A., Anderson, C. A., Suzuki, K., Swing, E., Lim, K. M., Horiuchi, Y., Jelic, M., Krahé, B., Liuqing, W., Liau, A., Khoo, A.,  Petrescu, P. D., Sakamoto, A., Tajima, S.., Toma, R., Warburton, W., Zhang, X.-M. & Lam, B. C. P. (in press) S1"	Blank	Blank	help	Blank	0.06	0.0212	0.0601	0.0213	behavior	prosocial/positive	correlational	antisocial	2	"Prot, S., Gentile, D. A., Anderson, C. A., Suzuki, K., Swing, E., Lim, K. M., Horiuchi, Y., Jelic, M., Krahé, B., Liuqing, W., Liau, A., Khoo, A.,  Petrescu, P. D., Sakamoto, A., Tajima, S.., Toma, R., Warburton, W., Zhang, X.-M. & Lam, B. C. P. (in press). Long-term relations between prosocial media use, empathy, and prosocial behavior. Psychological Science"	48	"Prot, S._ press) S1"	2207.148207
"Prokarym, M. (2012)"	Blank	Blank	anger	Blank	0.0515	0.0973	0.0515	0.0975	affect	antisocial/negative	correlational	antisocial	3	"Prokarym, M. (2012). The effect of video games on aggressive behavior. Unpublishes Master Thesis. University of Texas at Arlington."	49	Prokarym_ M. (2012)	108.1939513
"Möller, I., Krahé, B., Busching, R., & Krause, C. (2012)."	Blank	AS vs Neutral/Control	total Aggression T1-violent game T1	T1	0.3	0.0349	0.309519604	0.0383	affect	antisocial/negative	correlational	antisocial	3	"Möller, I., Krahé, B., Busching, R., & Krause, C. (2012). Efficacy of an intervention to reduce the use of media violence and aggression: An experimental evaluation with adolescents in Germany. Journal Of Youth And Adolescence, 41(2), 105-120.                                                                                                                                                                                                                                                                                                                                                                     "	54	"Möller, _C. (2012)."	684.7143753
"Möller, I., Krahé, B., Busching, R., & Krause, C. (2012)."	Blank	AS vs Neutral/Control	total Aggression T2-violent game T1	Blank	0.24	0.0361	0.244774113	0.0383	affect	antisocial/negative	longitudinal	antisocial	3	"Möller, I., Krahé, B., Busching, R., & Krause, C. (2012). Efficacy of an intervention to reduce the use of media violence and aggression: An experimental evaluation with adolescents in Germany. Journal Of Youth And Adolescence, 41(2), 105-120.                                                                                                                                                                                                                                                                                                                                                                     "	55	"Möller, _C. (2012)."	684.7143753
"Markey, P. M., & Scherer, K. (2009)."	Blank	Blank	predicting aggressive cognitions	Blank	0.3	0.0849	0.309519604	0.0933	cognition	antisocial/negative	experimental	antisocial	3	"Markey, P. M., & Scherer, K. (2009). An examination of psychoticism and motion capture controls as moderators of the effects of violent video games. Computers In Human Behavior, 25(2), 407-411.                                                                                                                                                                                                                                                                                                                                                                                                                       "	66	"Markey, _K. (2009)."	117.8779594
"Markey, P. M., & Scherer, K. (2009)."	Blank	Blank	predicting state hostility	Blank	0.28	0.0859	0.287682072	0.0933	affect	antisocial/negative	experimental	antisocial	3	"Markey, P. M., & Scherer, K. (2009). An examination of psychoticism and motion capture controls as moderators of the effects of violent video games. Computers In Human Behavior, 25(2), 407-411.                                                                                                                                                                                                                                                                                                                                                                                                                       "	67	"Markey, _K. (2009)."	117.8779594
"Lin, J. H. (2013)."	Blank	AS vs Neutral/Control	aggressive affect	Blank	0.215	0.0759	0.218323943	0.079555728	affect	antisocial/negative	experimental	antisocial	3	"Lin. J. H. (2013). Identification matters: A moderated mediation model of media interactivity, character identification, and video game violence on aggression. Journal of Communication, 63, 682-702."	68	"Lin, J. _H. (2013)."	161.0000017
"Lin, J. H. (2013)."	Blank	AS vs Neutral/Control	aggressive cognition	Blank	0.0712	0.0792	0.0713	0.079555728	cognition	antisocial/negative	experimental	antisocial	3	"Lin. J. H. (2013). Identification matters: A moderated mediation model of media interactivity, character identification, and video game violence on aggression. Journal of Communication, 63, 682-702."	69	"Lin, J. _H. (2013)."	161.0000017
