"ID"	"Study.name"	"Outcome"	"PERSON"	"Sample.size"	"Correlation"	"Fisher.s.Z"	"Std.Err"	"Full.Reference"	"Long.Dup"	"raw.r."	"Study"	"SEX"	"Best."	"AGE"	"East.West"	"setting2"	"Setting"	"1st"	"2nd"	"3rd"	"4th"	"aveORonlyR"	"aveDVs"	"Country"	"t"	"df"	"d_est"	"p.onetail"	"p.twotail"
"190"	"FR01AA"	"AggAff"	"Third"	71	0.2281	0.232184265330265	0.121267812518166	"Fleming, M J. & Rickwood, D. J. (2001) Effects of violent versus nonviolent video games on children's arousal, aggressive mood and positive mood.  Journal of Applied Social Psychology, 31, 2047-2071."	"Exp"	"y"	1	"MF"	"y"	"Child"	"West"	"Exp"	"Exp"	"."	"."	"."	"."	"0.2281"	"."	"Australia"	1.91464050112625	69	0.468552106594533	0.0298426272054406	0.0596852544108813
"191"	"FR01PA"	"PhysArous"	"Third"	71	0.3326	0.345748816905582	0.121267812518166	"Fleming, M J. & Rickwood, D. J. (2001) Effects of violent versus nonviolent video games on children's arousal, aggressive mood and positive mood.  Journal of Applied Social Psychology, 31, 2047-2071."	"Exp"	"y"	1	"MF"	"y"	"Child"	"West"	"Exp"	"Exp"	"."	"."	"."	"."	"0.3326"	"."	"Australia"	2.85111778406812	69	0.705357412955366	0.00287082808667119	0.00574165617334238
"419"	"UDW07AA"	"AggAff"	"First"	107	0.1961	0.198673329860752	0.098058067569092	"Unsworth, G., Devilly, G. J., & Ward, T. (2007). The effect of playing violent video games on adolescents: Should parents be quaking in their boots? Psychology, Crime, & Law, 13, 383-394."	"NB"	"y"	1	"MF"	"n"	"Child"	"West"	"Exp"	"Exp"	"."	"."	"."	"."	"0.1961"	"."	"Australia"	2.02607837158086	105	0.399965774441013	0.0226462505650592	0.0452925011301183
"165"	"F06ABF"	"AggBeh"	"."	103	0.17	0.171666663500579	0.1	"Fleming, M.J. (2006). The effects of television and electronic games on aggression and prosocial behavior in middle childhood. Dissertation, University of Canberra."	"NB"	"y"	1	"F"	"n"	"Child"	"West"	"Nonexp"	"NonexpS"	"."	"."	"."	"."	"0.17"	"."	"Australia"	1.71666663500579	101	0.34502212047719	0.0445527284630175	0.089105456926035
"166"	"F06ABM"	"AggBeh"	"."	125	0.35	0.365443754271396	0.0905357460425185	"Fleming, M.J. (2006). The effects of television and electronic games on aggression and prosocial behavior in middle childhood. Dissertation, University of Canberra."	"NB"	"y"	1	"M"	"n"	"Child"	"West"	"Nonexp"	"NonexpS"	"."	"."	"."	"."	"0.35"	"."	"Australia"	4.03645819740384	123	0.747264717757073	4.73587189387499e-05	9.47174378774997e-05
"426"	"W07AB"	"AggBeh"	"."	312	0.32	0.331647108705132	0.0568880123988574	"Wei, R. (2007). Effects of playing violent videogames on Chinese adolescents' pro-violence attitudes, attitudes toward others, and aggressive behavior. CyberPsychology & Behavior, 10, 371-380."	"Blank"	"y"	1	"MF"	"y"	"Child"	"East"	"Nonexp"	"Nonexp"	"."	"."	"."	"."	"0.32"	"."	"China"	5.8298241531074	310	0.675520529473199	6.96124139406704e-09	1.39224827881341e-08
"427"	"W07AC"	"AggCog"	"."	312	0.18	0.181982688600706	0.0568880123988574	"Wei, R. (2007). Effects of playing violent videogames on Chinese adolescents' pro-violence attitudes, attitudes toward others, and aggressive behavior. CyberPsychology & Behavior, 10, 371-380."	"Blank"	"y"	1	"MF"	"y"	"Child"	"East"	"Nonexp"	"Nonexp"	"."	"."	"."	"."	"0.18"	"."	"China"	3.19896373465776	310	0.36597765571301	0.000760950978427721	0.00152190195685544
"428"	"W07EM"	"Empathy"	"."	312	-0.3	-0.309519604203112	0.0568880123988574	"Wei, R. (2007). Effects of playing violent videogames on Chinese adolescents' pro-violence attitudes, attitudes toward others, and aggressive behavior. CyberPsychology & Behavior, 10, 371-380."	"Blank"	"y"	1	"MF"	"y"	"Child"	"East"	"Nonexp"	"Nonexp"	"."	"."	"."	"."	"-0.3"	"."	"China"	-5.44085812021319	310	-0.628970902033151	0.999999946090885	1.99999989218177
"255"	"K04ABM"	"AggBeh"	"."	2079	0.1532	0.154415713251769	0.0219475640653074	"Kuntsche, E.N. (2004). Hostility among adolescents in Switzerland? Multivariate relations between excessive media uee and forms of violence. Journal of Adolescent Health, 34, 230-236."	"NB"	"y"	1	"M"	"n"	"Child"	"West"	"Nonexp"	"NonexpS"	"0.236200"	"0.176700"	"0.042500"	"."	"0.1532"	"bully,hit,fight"	"Europe"	7.03566522427218	2077	0.310060197569637	1.341153072621e-12	2.682306145242e-12
"437"	"WP08ABfL"	"AggBeh"	"."	180	0.1	0.100335347731076	0.0751646028002829	"Wallenius, M., & Punamaki, R. (2008). Digitial game violence and direct aggression in adolescence: A longitudinal study of the roles of sex, age, and parent-child communication. Journal of Applied Developmental Psychology, 29, 286-294."	"LS"	"y"	1	"F"	"y"	"Child"	"West"	"Long"	"Long"	"."	"."	"."	"."	"0.1"	"."	"Finland"	1.33487498094912	178	0.201007563051842	0.0918110459740781	0.183622091948156
"440"	"WP08ABmL"	"AggBeh"	"."	136	0.19	0.192337169219545	0.086710996952412	"Wallenius, M., & Punamaki, R. (2008). Digitial game violence and direct aggression in adolescence: A longitudinal study of the roles of sex, age, and parent-child communication. Journal of Applied Developmental Psychology, 29, 286-294."	"LS"	"y"	1	"M"	"y"	"Child"	"West"	"Long"	"Long"	"."	"."	"."	"."	"0.19"	"."	"Finland"	2.21814044330619	134	0.387050476523023	0.0141144828907422	0.0282289657814844
"438"	"WP08ABfPL"	"AggBeh"	"."	180	0.0624	0.0624811799497106	0.0751646028002829	"Wallenius, M., & Punamaki, R. (2008). Digitial game violence and direct aggression in adolescence: A longitudinal study of the roles of sex, age, and parent-child communication. Journal of Applied Developmental Psychology, 29, 286-294."	"LT1s"	"n"	1	"F"	"y"	"Child"	"West"	"LongPs"	"LongPs"	"."	"."	"."	"."	"0.1"	"."	"Finland"	0.8312580339941	178	0.125043682486199	0.203470777161956	0.406941554323912
"441"	"WP08ABmPL"	"AggBeh"	"."	136	0.0859	0.0861122202815408	0.086710996952412	"Wallenius, M., & Punamaki, R. (2008). Digitial game violence and direct aggression in adolescence: A longitudinal study of the roles of sex, age, and parent-child communication. Journal of Applied Developmental Psychology, 29, 286-294."	"LT1s"	"n"	1	"M"	"y"	"Child"	"West"	"LongPs"	"LongPs"	"."	"."	"."	"."	"0.19"	"."	"Finland"	0.993094570562949	134	0.172437369225773	0.16122688744215	0.3224537748843
"436"	"WP08ABf"	"AggBeh"	"."	180	0.1758	0.177645413531719	0.0751646028002829	"Wallenius, M., & Punamaki, R. (2008). Digitial game violence and direct aggression in adolescence: A longitudinal study of the roles of sex, age, and parent-child communication. Journal of Applied Developmental Psychology, 29, 286-294."	"Blank"	"y"	1	"F"	"y"	"Child"	"West"	"Nonexp"	"NonexpS"	"0.120000"	"0.230000"	"."	"."	"0.1758"	"T1,T2"	"Finland"	2.36341850969045	178	0.357162482880555	0.00959285497692855	0.0191857099538571
