"ID"	"Study.name"	"Outcome"	"PERSON"	"Sample.size"	"Correlation"	"Fisher.s.Z"	"Std.Err"	"Full.Reference"	"Long.Dup"	"raw.r."	"Study"	"SEX"	"Best."	"AGE"	"East.West"	"setting2"	"Setting"	"1st"	"2nd"	"3rd"	"4th"	"aveORonlyR"	"aveDVs"	"Country"	"Pub"	"z"	"t"	"df"	"d_est"	"p.onetail"	"p.twotail"
"1"	"A87AA"	"AggAff"	"Third"	60	0.012	0.0120005760497715	0.132453235706504	"Austin, L. H. (1987). The effects of playing video games with aggressive features.Dissertation: The Fielding Institute,"	"NB"	"y"	1	"MF"	"n"	"Adult"	"West"	"Exp"	"Exp"	"."	"."	"."	"."	"0.012"	"."	"US"	"Dissertation (unpub)"	0.0906023623036506	0.0913958580090587	58	0.0240017281866464	0.463746491788033	0.927492983576067
"2"	"A87AB"	"AggBeh"	"Third"	60	0.0084	0.00840019757636464	0.132453235706504	"Austin, L. H. (1987). The effects of playing video games with aggressive features.Dissertation: The Fielding Institute,"	"NB"	"y"	1	"MF"	"n"	"Adult"	"West"	"Exp"	"Exp"	"-0.116200"	"-0.025000"	"0.040500"	"0.270000"	"0.0084"	"eval. Of exp."	"US"	"Dissertation (unpub)"	0.0634201009251158	0.0639747511582931	58	0.0168005927353677	0.474605156385945	0.949210312771891
"3"	"A87PA"	"PhysArous"	"Third"	60	-0.0287	-0.0287078838643498	0.132453235706504	"Austin, L. H. (1987). The effects of playing video games with aggressive features.Dissertation: The Fielding Institute,"	"NB"	"y"	1	"MF"	"n"	"Adult"	"West"	"Exp"	"Exp"	"."	"."	"."	"."	"-0.0287"	"."	"US"	"Dissertation (unpub)"	-0.216739770162822	-0.218662761855477	58	-0.0574236545169953	0.586159817302201	0.827680365395598
"4"	"A92AC"	"AggCog"	"Third"	45	0.0707	0.0708181523004653	0.154303349962092	"Alman, R. E. (1992).  Video games: Interaction vs. observation as sources of social learning.  "	"NB"	"y"	1	"MF"	"n"	"Adult"	"West"	"Exp"	"Exp"	"0.088100"	"0.053300"	"."	"."	"0.0707"	"."	"US"	"Dissertation (unpub)"	0.458954081799671	0.464773942801402	43	0.141754723610123	0.322219160346066	0.644438320692132
"5"	"ACF04AA2e"	"AggAff"	"First"	184	0.0453	0.045331024767337	0.0743294146247166	"Anderson, C. A., Carnagey, N. L., Flanagan, M., Benjamin, A. J., Eubanks, J., & Valentine, J. C. (2004). Violent video games: Specific effects of violent content on aggressive thoughts and behavior. Advances in Experimental Social Psychology, 36, 199-249."	"NB"	"y"	2	"MF"	"n"	"Adult"	"West"	"Exp"	"Exp"	"."	"."	"."	"."	"0.0453"	"."	"US"	"Journal"	0.609866564888339	0.611758425639029	182	0.0906931029933203	0.270730518461997	0.541461036923994
"6"	"ACF04AA3"	"AggAff"	"First"	204	0.016	0.0160013655430869	0.0705345615858598	"Anderson, C. A., Carnagey, N. L., Flanagan, M., Benjamin, A. J., Eubanks, J., & Valentine, J. C. (2004). Violent video games: Specific effects of violent content on aggressive thoughts and behavior. Advances in Experimental Social Psychology, 36, 199-249."	"NB"	"y"	3	"MF"	"n"	"Adult"	"West"	"Exp"	"Exp"	"."	"."	"."	"."	"0.016"	"."	"US"	"Journal"	0.2268585099747	0.227431839595659	202	0.0320040967865998	0.410158993261404	0.820317986522808
"7"	"ACF04AB2"	"AggBeh"	"First"	90	0.2445	0.249554670047426	0.107211253483779	"Anderson, C. A., Carnagey, N. L., Flanagan, M., Benjamin, A. J., Eubanks, J., & Valentine, J. C. (2004). Violent video games: Specific effects of violent content on aggressive thoughts and behavior. Advances in Experimental Social Psychology, 36, 199-249."	"Exp"	"y"	2	"MF"	"y"	"Adult"	"West"	"Exp"	"Exp"	"0.244500"	"0.136800"	"."	"."	"0.1915"	"T1, ave4Int"	"US"	"Journal"	2.32769100200086	2.36540502307163	88	0.50430604539003	0.0101036807802822	0.0202073615605645
"8"	"ACF04AB3"	"AggBeh"	"First"	204	0.1883	0.190574089764425	0.0705345615858598	"Anderson, C. A., Carnagey, N. L., Flanagan, M., Benjamin, A. J., Eubanks, J., & Valentine, J. C. (2004). Violent video games: Specific effects of violent content on aggressive thoughts and behavior. Advances in Experimental Social Psychology, 36, 199-249."	"Exp"	"y"	3	"MF"	"y"	"Adult"	"West"	"Exp"	"Exp"	"."	"."	"."	"."	"0.1883"	"."	"US"	"Journal"	2.70185403410276	2.72499169616633	202	0.383459493366613	0.003497255477683	0.00699451095536599
"9"	"ACF04AB4b"	"AggBeh"	"."	806	0.321	0.332761588481815	0.0352892336620293	"Anderson, C. A., Carnagey, N. L., Flanagan, M., Benjamin, A. J., Eubanks, J., & Valentine, J. C. (2004). Violent video games: Specific effects of violent content on aggressive thoughts and behavior. Advances in Experimental Social Psychology, 36, 199-249."	"Blank"	"y"	4	"MF"	"y"	"Adult"	"West"	"Nonexp"	"Nonexp"	"."	"."	"."	"."	"0.321"	"BPp&NYS"	"US"	"Journal"	9.42954986409528	9.61051721159383	804	0.677873618133131	4.48387535583729e-21	8.96775071167457e-21
"11"	"ACF04AC1"	"AggCog"	"both"	130	0.1852	0.18736206567338	0.0887356509416114	"Anderson, C. A., Carnagey, N. L., Flanagan, M., Benjamin, A. J., Eubanks, J., & Valentine, J. C. (2004). Violent video games: Specific effects of violent content on aggressive thoughts and behavior. Advances in Experimental Social Psychology, 36, 199-249."	"Exp"	"y"	1	"MF"	"y"	"Adult"	"West"	"Exp"	"Exp"	"."	"."	"."	"."	"0.1852"	"."	"US"	"Journal"	2.11146324713012	2.13218378172038	128	0.376920402697614	0.0174509314708454	0.0349018629416909
