"Outcome"	"Setting"	"Best"	"k"	"n"	"dhat_pcurve"	"rhat_pcurve"	"naive.FE.r"	"naive.RE.r"	"heterogeneity_RE"	"heterogeneity_RE_pval"	"PET.b0"	"PET.b0.se"	"PET.b0.p"	"PET.b1"	"PET.b1.se"	"PET.b1.p"	"PET_heterogeneity"	"PET_heterogeneity_p"	"PEESE.b0"	"PEESE.b0.se"	"PEESE.b0.p"	"PEESE.b1"	"PEESE.b1.se"	"PEESE.b1.p"	"PEESE_heterogeneity"	"PEESE_heterogeneity_p"	"PET.r"	"PET.r.LL"	"PET.r.UL"	"PEESE.r"	"PEESE.r.LL"	"PEESE.r.UL"
"AggAff"	"Exp"	"Best-only"	18	1318	0.313862505623783	0.155033822575671	0.289	0.335	43.467	"< .001"	-0.12	0.093	"0.198"	3.667	0.78	"< .001"	21.377	"0.164"	0.143	0.045	"0.001"	10.862	2.453	"< .001"	23.864	"0.093"	-0.12	-0.312	0.063	0.144	0.055	0.235
"AggAff"	"Exp"	"All"	34	2879	0.333186542992896	0.164328546161532	0.173	0.217	101.948	"< .001"	-0.112	0.058	"0.055"	2.743	0.528	"< .001"	74.949	"< .001"	0.061	0.03	"0.04"	9.302	1.879	"< .001"	77.444	"< .001"	-0.112	-0.23	0.003	0.061	0.003	0.12
"AggAff"	"Nonexp"	"All"	14	9811	0.331649440013459	0.163590776695582	0.148	0.164	151.178	"< .001"	0.106	0.024	"< .001"	1.264	0.64	"0.048"	147.281	"< .001"	0.137	0.014	"< .001"	8.403	6.243	"0.178"	149.366	"< .001"	0.106	0.059	0.155	0.138	0.111	0.165
"AggBeh"	"Exp"	"Best-only"	23	2413	0.141656597416462	0.0706513040525155	0.209	0.213	14.21	"0.894"	0.072	0.054	"0.188"	1.537	0.549	"0.005"	6.372	"0.999"	0.15	0.032	"< .001"	6.402	2.539	"0.012"	7.851	"0.996"	0.072	-0.035	0.18	0.151	0.086	0.216
"AggBeh"	"Exp"	"All"	39	3328	0.104517811770673	0.052187692355473	0.17	0.171	45.231	"0.196"	0.127	0.043	"0.003"	0.451	0.39	"0.248"	43.897	"0.202"	0.151	0.025	"< .001"	1.726	1.448	"0.233"	43.81	"0.205"	0.127	0.042	0.214	0.152	0.102	0.203
"AggBeh"	"Nonexp"	"Best-only"	21	11615	0.554485434784615	0.267165154322301	0.263	0.277	50.733	"< .001"	0.227	0.021	"< .001"	1.117	0.483	"0.021"	45.375	"0.001"	0.253	0.012	"< .001"	8.983	4.41	"0.042"	46.584	"< .001"	0.231	0.189	0.274	0.259	0.233	0.285
"AggBeh"	"Nonexp"	"All"	36	28337	0.464028874328521	0.226011005235776	0.201	0.229	176.144	"< .001"	0.152	0.012	"< .001"	1.687	0.33	"< .001"	150.027	"< .001"	0.189	0.007	"< .001"	11.912	2.968	"< .001"	160.034	"< .001"	0.153	0.13	0.177	0.191	0.177	0.206
"PhysArous"	"Exp"	"Best-only"	11	833	0.54338094437549	0.262186020196476	0.199	0.21	18.858	"0.042"	0.128	0.106	"0.227"	0.66	0.905	"0.466"	18.327	"0.032"	0.183	0.056	"0.001"	1.314	3.149	"0.676"	18.684	"0.028"	0.129	-0.08	0.35	0.185	0.074	0.302
"PhysArous"	"Exp"	"All"	24	1770	0.557802077631331	0.268648181597932	0.139	0.148	35.042	"0.052"	-0.005	0.074	"0.942"	1.292	0.626	"0.039"	30.78	"0.101"	0.085	0.035	"0.016"	3.869	1.828	"0.034"	30.562	"0.105"	-0.005	-0.152	0.141	0.085	0.016	0.156
"AggCog"	"Exp"	"Best-only"	24	2887	0.376772166546107	0.185129660882245	0.217	0.222	35.11	"0.051"	0.107	0.062	"0.086"	1.291	0.674	"0.055"	31.44	"0.087"	0.18	0.028	"< .001"	4.733	2.416	"0.05"	31.273	"0.091"	0.107	-0.015	0.233	0.182	0.126	0.239
"AggCog"	"Exp"	"All"	41	4189.5	0.419183303584925	0.205134435120404	0.21	0.216	81.087	"< .001"	0.141	0.048	"0.003"	0.763	0.479	"0.111"	78.551	"< .001"	0.179	0.024	"< .001"	3.341	1.808	"0.065"	77.67	"< .001"	0.142	0.046	0.24	0.181	0.133	0.231
"AggCog"	"Nonexp"	"Best-only"	16	7221	0.349350900717219	0.172070114459326	0.168	0.184	41.538	"< .001"	0.099	0.031	"0.001"	1.618	0.649	"0.013"	35.313	"0.001"	0.147	0.017	"< .001"	10.128	5.459	"0.064"	38.096	"0.001"	0.1	0.039	0.161	0.148	0.115	0.183
"AggCog"	"Nonexp"	"All"	21	12236	0.344132625241991	0.169574344685799	0.16	0.191	105.506	"< .001"	0.063	0.022	"0.005"	2.593	0.539	"< .001"	82.344	"< .001"	0.13	0.012	"< .001"	17.943	4.961	"< .001"	92.427	"< .001"	0.063	0.019	0.107	0.131	0.106	0.156
